"year","tariff_events","ad_cvd","mfn_rate","wto_trade_weighted","wto_preferential_rate","effective_tariffs","dutiable_rate","duty_free_share","tariff_policy","active_unilateral_economic_sanctions","new_unilateral_economic_sanctions","mult_economic_sanctions_rate","active_trade_agreements","signed_trade_agreements","finished_trade_agreements","active_wto_disputes","new_wto_complainant","new_wto_respondent","wto_success","wto_stagnation","igo_accession","igo_withdrawals","igo_participation","igo_contributions","un_payable_contributions","un_contributions","un_pending_contributions","foreign_assistance_budget","international_development_budget","usaid_budget","foreign_assistance_share","foreign_aid_stance","collective_security_conditioning","interstate_conflict_count","crises_involvement","wpr_count","deployments_abroad","deployments_abroad_coordination","peacekeeping_active","peacekeeping_rate","peacekeeping_contributions","force_willingness","int_law_respect","int_trib_attitude","v2x_libdem","v2x_polyarchy","fh_fiw_score","v2xlg_legcon","v2x_jucon","v2x_rule","v2x_civlib","fh_civlib","fh_polrights","v2psoppaut","democracy_aid","drl_budget","ned_allocations","democracy_objective","alliance_transactionalism","ally_tone","authoritarian_legitimation","un_libdem_alignment","un_auth_alignment","liberal_internationalism","mult_attitude"
2003,46,600,3.77230576594283,2.74903731098103,1.44951519543776,0.0159,0.0493,0.6774,-0.3059,23,42,0.125,58,4,NA,88,3,6,0.846153846153846,0.222222222222222,24,14,402,893837000,531806761,263845890,267960871,25166,15108,10060,0.011105634147773,-0.1215,0.0423,2,1.36363636363636,3,16,0.6875,7,0.466666666666667,635865000,0.1004,0.2119,0.1499,0.798,0.86,93,0.94,0.949,0.979,0.906,56,37,3.225,2619,NA,41727000,0.0238,-0.1058,-0.0541,0.1753,0.454032809295967,0.168109668109668,-0.0974,0.1171
2004,42,648,3.65998989139292,2.52525329268397,1.24937760486766,0.0146,0.048,0.696,-0.2402,23,35,0.477611940298507,65,12,NA,88,4,7,0.636363636363636,0.363636363636364,21,17,412,999830000,630813867,390293007,240520860,38175,30495,10610,0.0158522532623252,-0.1863,0.0631,3,0.9,2,11,0.636363636363636,7,0.411764705882353,695056000,0.001,0.0122,0.1863,0.799,0.862,93,0.94,0.949,0.979,0.906,55,38,3.225,2148,NA,39579000,-0.0918,-0.1649,-0.0678,0.0241,0.423076923076923,0.153375733855186,-0.0906,-0.0892
2005,38,665,3.54828911128844,2.35949517698172,1.40219480607545,0.014,0.0458,0.6948,-0.2222,21,0,1,68,4,NA,85,1,3,0.833333333333333,0.25,10,22,416,1166212000,680132472,428280567,251851905,21951,13449,11390,0.0084994391400121,-0.1342,-0.1139,3,0.333333333333333,NA,8,0.875,8,0.470588235294118,1113455000,-0.0101,-0.0346,0.0748,0.794,0.856,94,0.94,0.949,0.979,0.921,56,38,3.225,4189,NA,59199000,-0.0588,-0.2222,-0.1409,0.1363,0.3995,0.138666666666667,-0.142,-0.0899
2006,32,722,3.58629445933632,2.27350274402357,1.36780534097099,0.0136,0.045,0.6969,-0.2311,28,116,0.2,77,9,NA,88,3,5,0.833333333333333,0.25,21,13,404,1151317000,675316760,383908137,291408623,23600,14533,11620,0.00848799344554269,-0.1208,0.0874,3,1.04761904761905,1,9,0.888888888888889,8,0.444444444444444,1022275000,-0.0374,0.0089,0.199,0.801,0.862,93,0.945,0.949,0.979,0.914,55,38,3.225,2056,16716000,74042000,-0.0774,-0.2047,-0.0686,-0.0162,0.389480198019802,0.188118811881188,-0.0674,0.0794
2007,34,653,3.59720868933028,2.21953479800685,1.33832421408781,0.0135,0.0439,0.6938,-0.2148,29,38,0,80,5,NA,85,4,3,0.636363636363636,0.428571428571429,3,0,412,1151317000,784575462,391901857,392673605,26850,16269,10530,0.00937805179618507,-0.0607,0.2511,3,1.28205128205128,NA,4,1,7,0.318181818181818,1135275000,-0.0695,0.0138,0.1201,0.84,0.897,94,0.945,0.947,0.979,0.922,56,38,3.225,2266,16634000,74042000,-0.0723,-0.11,-0.0256,6e-04,0.370175980240815,0.130963972736125,-0.0573,-0.0768
2008,48,655,3.59022638098076,1.98338309146427,1.3156412546913,0.0123,0.0399,0.6909,-0.1618,31,43,0.271186440677966,83,5,NA,86,3,6,0.666666666666667,0.111111111111111,21,14,415,1343429000,846011997,451527359,394484638,28201,17652,13170,0.00847825270009245,-0.1135,0.1625,3,0.5,NA,4,1,5,0.25,1690517000,-0.0669,0.032,0.0476,0.845,0.9,94,0.945,0.947,0.979,0.94,56,38,3.225,2704,19445000,99190000,-0.0663,-0.2068,-0.0881,0.1089,0.377736085053158,0.141025641025641,-0.0948,-0.103
2009,30,604,3.5675623544874,2.1715993145274,1.19850954853003,0.0137,0.0463,0.705,-0.2076,36,10,0.5,87,3,NA,86,2,3,0.833333333333333,0.2,16,22,422,1604400000,992776793,699042776,293733963,36424,25262,16090,0.0089329793560966,-0.1107,-0.086,4,1.25,NA,9,1,6,0.315789473684211,2388500000,-0.0525,-0.0883,-0.0638,0.848,0.9,94,0.948,0.951,0.982,0.952,56,38,3.225,3366,18788000,115000000,0.086,-0.096,-0.1675,-0.0267,0.507523939808482,0.207553475935829,-0.0887,-0.1805
2010,29,654,3.53022738179855,2.1216819504184,1.06094917319583,0.0136,0.0458,0.7023,-0.2056,36,42,0.142857142857143,88,NA,NA,88,5,2,0.75,0.142857142857143,29,25,417,1682500000,810867471,532453102,278414368,39317,25222,14970,0.0112830740974574,-0.1289,-0.1821,4,1.55555555555556,NA,8,1,7,0.368421052631579,2221500000,-0.1053,-0.1677,-0.1349,0.848,0.9,94,0.948,0.953,0.983,0.951,56,38,3.225,3318,21416000,118000000,0.082,-0.1321,-0.1892,-0.12,0.478835978835979,0.227588383838384,-0.0498,-0.1614
2011,32,650,3.53292965416884,2.1237461183042,1.03333311140786,0.0131,0.0422,0.6898,-0.2009,47,147,0.242268041237113,91,3,NA,88,0,3,0.75,0.333333333333333,21,11,421,1578651000,861092882,502092882,359000000,34124,21658,16780,0.00972226693725514,-0.1412,-0.1653,4,1.61904761904762,2,12,0.916666666666667,5,0.277777777777778,1883931000,-0.122,-0.1585,-0.0631,0.845,0.896,93,0.948,0.953,0.983,0.95,55,38,3.225,3644,23216000,117764000,0.0589,-0.0294,-0.1925,8e-04,0.52087646652864,0.23303324099723,-0.0808,-0.1352
2012,103,541,3.48387661828292,2.11810620304151,0.958145497341156,0.0133,0.0422,0.6853,-0.1722,54,72,0.172413793103448,95,1,1,96,5,6,0.777777777777778,0.181818181818182,7,2,431,1449700000,927750776,632750776,295000000,36436,22312,17360,0.010188576468292,-0.1082,-0.1069,3,1,3,9,0.555555555555556,6,0.352941176470588,1828182000,-0.1517,-0.0822,-0.0033,0.842,0.896,94,0.948,0.953,0.982,0.949,56,38,3.225,4164,23793000,117764000,0.0895,-0.0574,-0.1332,0.059,0.494851994851995,0.248648648648649,-0.0156,-0.0521
2013,114,452,3.49366972589614,2.19826289945232,0.936982094275918,0.0139,0.0443,0.6864,-0.2853,61,48,0.238095238095238,95,4,NA,94,3,2,0.7,0.4,17,16,436,1376338000,913481182,529481182,384000000,36223,23625,17170,0.0104137977429632,-0.153,-0.0415,4,2.22222222222222,5,15,0.4,5,0.294117647058824,1913788000,-0.1488,-0.1026,-0.0746,0.852,0.905,92,0.949,0.961,0.981,0.953,55,37,3.225,3177,25407000,111802000,-0.0286,-0.2071,-0.1565,-0.034,0.523848684210526,0.208806818181818,-0.12,-0.1454
2014,143,546,3.49360696572964,2.23932335161376,0.770789088133604,0.014,0.0448,0.6882,-0.2675,64,51,0.43956043956044,96,1,NA,89,1,2,1,0,8,3,437,1265762000,1015203682,617203682,398000000,35409,23759,17540,0.0097842350824886,-0.1111,0.0417,6,0.888888888888889,14,14,0.714285714285714,7,0.388888888888889,1765419000,-0.1246,-0.1549,-0.0483,0.848,0.901,92,0.949,0.961,0.981,0.953,55,37,3.225,2925,29268000,135000000,0.0847,-0.3325,-0.1747,-0.0941,0.534134615384615,0.245170454545455,-0.1497,-0.0898
2015,110,555,3.49246968524438,2.3999101640492,0.743657079267137,0.0152,0.0488,0.6884,-0.1888,59,25,0.324324324324324,96,1,NA,89,2,1,0.857142857142857,0.333333333333333,14,14,442,1422159000,1052778938,739778938,313000000,38398,26152,18220,0.0101778621029301,-0.105,-0.0107,8,1.79487179487179,1,9,0.333333333333333,7,0.388888888888889,2118791000,-0.1186,-0.1578,-0.0558,0.848,0.9,90,0.949,0.961,0.981,0.953,54,36,3.225,3419,28297000,135000000,0.0936,-0.2252,-0.1314,-0.0923,0.563116370808678,0.235431235431235,-0.1087,-0.1286
2016,136,589,3.47402518020304,2.42220365678958,0.672657341275071,0.0148,0.0498,0.7023,-0.1435,62,25,0,98,2,NA,91,3,5,0.363636363636364,0.875,16,14,442,1446186000,907041382,621041382,286000000,37667,25788,18990,0.00948090729969705,-0.1168,-0.1026,7,1.74603174603175,3,21,0.238095238095238,7,0.333333333333333,2460562000,-0.1509,-0.1811,0.0317,0.83,0.885,89,0.949,0.962,0.972,0.951,53,36,3.225,2333,36268000,170000000,0.0639,-0.2664,-0.1759,-0.1512,0.558224891558225,0.278851315083199,-0.126,-0.0125
2017,94,603,3.42802021437295,2.31966507813175,0.775493358730672,0.0142,0.0466,0.6965,0.0402,61,42,0.142857142857143,98,1,NA,94,3,4,0.222222222222222,1,14,14,443,1359206000,896836578,550224692,346611886,41230,28779,19320,0.00992581996348897,0.087,-0.1106,9,1.77083333333333,1,29,0.689655172413793,8,0.347826086956522,1907464000,-0.0278,0.013,0.2997,0.749,0.834,86,0.863,0.931,0.936,0.943,53,33,3.293,2941,17171000,170000000,0.0757,0.0165,0.0482,0.0798,0.467078780908568,0.202821461609621,-0.0405,0.2145
2018,140,626,3.45246699677732,2.31541943718883,0.772506809094782,0.0182,0.0557,0.6726,0.689,70,78,0.0714285714285714,98,1,1,120,9,19,0.117647058823529,0.535714285714286,12,8,443,1467408000,938000000,557206608,380793392,39923,28206,20090,0.00893965358758377,0.2886,0.0132,8,1.83333333333333,1,14,0.785714285714286,7,0.333333333333333,1381980000,-0.0832,0.1408,0.4607,0.739,0.824,86,0.85,0.948,0.942,0.935,53,33,3.293,2539,14332000,170000000,0.0669,0.396,0.1831,0.0246,0.445945945945946,0.188251001335113,0.1235,0.2521
2019,134,712,3.39697465805635,2.3895680296766,0.750782875800048,0.0265,0.0783,0.6614,0.773,89,81,0,97,NA,NA,121,0,3,0.8,0.666666666666667,8,5,447,1360270000,1055000000,568613826,486386174,39865,28529,20740,0.00847740022707056,0.6356,0.1695,11,1.56410256410256,2,15,0.6,6,0.260869565217391,1550900000,-0.1065,0.4107,0.512,0.74,0.818,86,0.887,0.947,0.94,0.931,53,33,3.293,2730,13298000,180000000,0.2166,0.4393,0.6528,0.213,0.485972222222222,0.19075,0.3797,0.3623
2020,184,714,3.50559929863605,2.29561806711997,0.895955898849637,0.0276,0.0888,0.6888,0.254,105,84,0,98,3,1,114,0,1,0.666666666666667,1,7,4,450,1473806000,1165000000,861732892,303267108,41595,30984,22660,0.00540323430239952,0.2824,-0.0789,10,1.03508771929825,1,11,0.727272727272727,7,0.318181818181818,1526283000,0.0633,0.1955,0.3483,0.734,0.815,83,0.887,0.928,0.939,0.917,51,32,3.293,2798,23363000,300000000,0.1515,0.4804,0.2462,0.0654,0.473636363636364,0.202727272727273,0.1604,0.1954
2021,111,788,3.47049444178907,2.26388887066285,0.869397289358208,0.0296,0.0886,0.6664,-0.1798,134,99,0.0571428571428571,98,NA,NA,112,NA,NA,0,NA,7,4,453,1505928000,1002000000,679417088,322582912,55477,36186,28350,0.00776999677866637,-0.1592,-0.1614,11,0.916666666666667,2,10,0.3,7,0.304347826086957,1456214000,-0.1567,-0.1626,-0.0149,0.756,0.821,83,0.948,0.93,0.964,0.938,51,32,3.293,1914,23336000,300000000,-0.0833,-0.1186,-0.047,-0.1169,0.573291050035236,0.24932915921288,-0.0369,-0.1377
2022,65,672,3.38707039858534,2.22553129879908,0.834613405116856,0.0278,0.0822,0.6613,-0.1069,175,94,0.0961538461538462,99,NA,NA,112,0,1,0.75,1,5,5,456,1662928000,1016000000,793897586,222102414,68858,44146,38720,0.0104594785207626,-0.1622,-0.0931,8,0.333333333333333,1,12,0.916666666666667,7,0.318181818181818,1498514000,-0.0759,-0.1079,0.0353,0.769,0.833,83,0.948,0.93,0.966,0.944,50,33,3.293,1785,26606000,315000000,0.0379,-0.1834,-0.1278,-0.0861,0.651203852327448,0.316237767306995,-0.1173,-0.1671
2023,84,751,3.39866697061132,2.18932109675075,0.831683422042542,0.0235,0.074,0.6822,-0.0933,217,42,0.142857142857143,99,NA,NA,110,0,1,0.875,1,7,7,456,1438000000,930000000,698434310,231565690,65316,35961,43790,0.010085989406283,-0.0722,-0.1832,5,NA,7,NA,NA,7,0.318181818181818,1481915000,-0.0557,-0.1899,0.0398,0.789,0.857,83,0.933,0.93,0.972,0.931,50,33,3.293,2294,18094000,315000000,0.0373,-0.1292,-0.0913,-0.0335,0.615767045454545,0.276209677419355,-0.097,-0.1199
2024,82,958,3.36813703841349,2.19997401528245,0.883850771453401,0.0234,0.0754,0.6894,0.2377,NA,NA,NA,99,NA,NA,104,0,1,0.333333333333333,1,7,9,456,1543452000,994000000,319385984,674614016,71150,44782,32480,0.0105638074010792,-0.0345,-0.001,3,NA,9,NA,NA,6,0.285714285714286,1367407000,0.0332,0.0743,0.1732,0.751,0.843,84,0.863,0.902,0.963,0.927,50,34,2.305,2559,19804000,315000000,0.0994,-0.2363,0.0325,-0.1259,0.617481203007519,0.286842105263158,-0.0427,-6e-04
2025,161,741,3.43875418050558,2.09395080251724,0.905326120453901,0.0778,0.1968,0.6046,1.4125,NA,NA,NA,99,NA,NA,108,0,6,0.25,1,12,12,454,1341606000,1495000000,218321188,1276678812,34805,25713,NA,0.00457853533174353,0.5105,0.4284,6,NA,4,NA,NA,5,0.238095238095238,872910000,-0.1064,0.4285,0.8835,0.571,0.735,81,0.61,0.844,0.924,0.826,49,32,2.305,NA,19221000,315000000,0.2413,0.7728,0.419,0.0012,0.197222222222222,0.0709438131313131,0.1347,0.5739
